,0
232,138.00000000000006
400,138.3333333333333
936,138.3333333333333
457,138.33333333333331
37,138.33333333333331
22,138.33333333333331
660,138.33333333333331
780,138.33333333333334
811,138.33333333333334
330,138.33333333333334
961,138.33333333333334
793,138.33333333333334
294,138.33333333333334
377,138.33333333333337
293,138.3333333333334
388,138.3333333333334
478,138.66666666666663
358,138.66666666666663
76,138.66666666666666
4,138.66666666666666
676,138.66666666666666
63,138.66666666666666
60,138.66666666666666
877,138.66666666666666
71,138.66666666666669
685,138.66666666666669
409,138.66666666666669
243,138.66666666666669
321,138.66666666666669
332,138.66666666666669
1,138.66666666666669
946,138.66666666666669
282,138.6666666666667
16,138.6666666666667
907,138.6666666666667
25,138.99999999999991
298,138.99999999999994
54,138.99999999999994
67,138.99999999999997
536,138.99999999999997
935,138.99999999999997
209,138.99999999999997
431,139.0
872,139.0
824,139.0
768,139.0
354,139.0
347,139.0
882,139.00000000000003
281,139.00000000000003
181,139.00000000000003
208,139.00000000000003
484,139.00000000000009
145,139.33333333333326
199,139.3333333333333
260,139.3333333333333
192,139.3333333333333
29,139.3333333333333
239,139.33333333333331
610,139.33333333333331
571,139.33333333333331
515,139.33333333333334
33,139.33333333333334
911,139.33333333333337
